Datetime, ECGR , AvgECG , ampECG , MAX , GSRR , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGR , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gy , Combroll , Combpitch,Features,,,Datetime
39:45.7,23,23,34.5,23,421,1.43,699.34,2.06,0,0,236,0,0,0,4294948089,473,1.02,0,0.04,-2.14,0.55,-1.05,-0.43,-86.39,-0.02,-0.25,-0.16,-0.04,-3.69,Standing,,,39:45.7
39:45.8,987,505,757.5,987,421,1.43,699.34,2.06,0,0,233,0,0,0,4294936842,706,1.01,0,0.05,-2.54,2,-2.63,-0.46,-85.37,-0.27,-0.25,-0.38,-0.28,-3.65,Standing,,,39:45.8
39:45.9,884,631,946.5,987,420,1.44,696.52,2.05,0,0,233,0,0,0,4294925595,939,1.01,0.02,0.05,-2.6,2.5,-3.27,0.63,-85.09,-0.52,-0.19,-0.69,-0.47,-3.58,Standing,,,39:45.9
39:46.0,0,473,709.5,987,419,1.44,693.71,2.05,0,0,238,0,0,0,4294916703,1177,1.01,0.02,0.04,-1.56,0.76,-1.69,0.77,-85.83,-0.64,-0.34,-0.8,-0.59,-3.76,Standing,,,39:46.0
39:46.2,286,436,654,987,420,1.44,696.52,2.05,0,0,235,0,0,0,4294906392,1412,1.01,0.01,0.07,-0.93,-0.45,-0.22,0.06,-84.43,-0.69,-0.64,-0.73,-0.66,-4,Standing,,,39:46.2
39:46.3,950,521,781.5,987,420,1.44,696.52,2.05,0,0,236,0,0,0,4294896552,1648,1.02,0,0.05,-1.51,1.23,-0.28,-0.43,-85.56,-0.81,-0.74,-0.67,-0.79,-4.13,Standing,,,39:46.3
39:46.4,985,587,880.5,987,421,1.43,699.34,2.06,0,0,238,0,0,0,4294887660,1886,1.02,0.01,0.06,-1.38,4.18,-2.73,0.01,-85.27,-0.91,-0.47,-0.9,-0.87,-3.86,Standing,,,39:46.4
39:46.5,648,595,892.5,987,422,1.42,702.16,2.06,0,0,238,0,0,0,4294878768,2124,1.02,0.02,0.07,-2.08,1.88,-1.76,0.31,-84.47,-1.09,-0.48,-1.02,-1.04,-3.84,Standing,,,39:46.5
39:46.7,0,529,793.5,987,422,1.42,702.16,2.06,20723.83,420,239,20724.07,236,429487040,0,0,1,0.02,0.07,-2.13,1.69,-1.39,0.5,-84.15,-1.29,-0.52,-1.1,-1.22,-3.87,Standing,,,39:46.7
39:46.8,522,528,792,987,422,1.42,702.16,2.06,20723.83,420,235,20724.07,236,429487040,4294956985,235,1.01,0.02,0.07,-0.22,-0.26,-0.49,0.35,-84.61,-1.25,-0.81,-1.06,-1.18,-4.16,Standing,,,39:46.8
