Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features,
11:12.0,452,452,678,452,444,1.3,766.84,2.17,0,0,187,0,0,0,4294906537,375,1.01,-0.01,0.1,-3.34,-1.11,-2.57,-1.13,-82.64,-0.09,-0.21,-0.43,-0.13,-3.51,Standing,
11:12.1,475,463,694.5,475,445,1.3,769.9,2.17,0,0,186,0,0,0,4294875597,561,1.03,-0.01,0.12,-1.96,-0.84,-3.27,-1.12,-81.87,-0.23,-0.49,-0.67,-0.26,-3.74,Standing,
11:12.2,515,480,720,515,444,1.3,766.84,2.17,0,0,187,0,0,0,4294845030,748,1.01,-0.01,0.09,-2.63,2.24,-1.91,-1.04,-83.52,-0.43,-0.46,-0.78,-0.46,-3.79,Standing,
11:12.3,497,484,726,515,444,1.3,766.84,2.17,0,0,186,0,0,0,4294814090,934,1.01,-0.01,0.12,-0.81,2.53,-0.21,-1.11,-81.9,-0.46,-0.41,-0.72,-0.48,-3.67,Standing,
11:12.4,538,495,742.5,538,443,1.31,763.79,2.17,0,0,186,0,0,0,4294783150,1120,1,0,0.1,-2.13,0.25,-1.53,-0.68,-82.6,-0.61,-0.59,-0.8,-0.61,-3.87,Standing,
11:12.5,555,505,757.5,555,444,1.3,766.84,2.17,0,0,187,0,0,0,4294752583,1307,1,-0.01,0.12,0.7,1.31,-1.11,-1.05,-81.68,-0.49,-0.65,-0.83,-0.51,-3.89,Standing,
11:12.6,444,496,744,555,443,1.31,763.79,2.17,0,0,186,0,0,0,4294721643,1493,0.99,-0.01,0.12,-0.48,-0.6,-1.7,-1.27,-81.44,-0.48,-0.91,-0.92,-0.51,-4.13,Standing,
11:12.8,471,493,739.5,555,443,1.31,763.79,2.17,0,0,186,0,0,0,4294690703,1679,1,-0.01,0.12,-1.73,0.34,-2.31,-0.87,-81.7,-0.6,-1.07,-1.07,-0.61,-4.3,Standing,
11:12.8,495,493,739.5,555,443,1.31,763.79,2.17,18.73,443,185,20723.56,186,429465952,0,0,1,-0.01,0.12,-2.21,1.29,-0.66,-1.04,-81.38,-0.76,-1.14,-1.06,-0.77,-4.35,Standing,
11:12.9,483,492,738,555,443,1.31,763.79,2.17,18.73,443,185,20723.56,186,429465952,4294935985,185,1,-0.01,0.11,-2.98,0.35,0.18,-1.22,-81.85,-1.01,-1.31,-0.96,-1.01,-4.53,Standing,
11:13.0,517,494,741,555,443,1.31,763.79,2.17,18.73,443,184,20723.56,186,429465952,4294904305,369,1.01,0,0.11,-2.68,0.73,-1.9,-0.76,-81.93,-1.22,-1.44,-1.07,-1.2,-4.66,Standing,
11:13.1,641,506,759,641,443,1.31,763.79,2.17,18.73,443,184,20723.56,186,429465952,4294872625,553,1,-0.01,0.12,-1.48,-0.33,-1.76,-1.25,-81.57,-1.31,-1.67,-1.17,-1.31,-4.87,Standing,
11:13.2,451,502,753,641,444,1.3,766.84,2.17,18.73,443,184,20723.56,186,429465952,4294840945,737,0.99,-0.01,0.11,-2.54,-2.62,-2.57,-1.1,-81.93,-1.51,-2.15,-1.35,-1.5,-5.34,Standing,
11:13.3,477,500,750,641,443,1.31,763.79,2.17,18.73,443,184,20723.56,186,429465952,4294809265,921,1.01,0,0.09,-2.64,-1.34,-1.47,-0.62,-83.16,-1.73,-2.49,-1.42,-1.68,-5.71,Standing,
11:13.4,489,500,750,641,443,1.31,763.79,2.17,18.73,443,184,20723.56,186,429465952,4294777585,1105,1,-0.02,0.1,-0.35,-2.18,-1.96,-1.67,-82.6,-1.71,-2.91,-1.54,-1.7,-6.09,Standing,
11:13.5,482,498,747,641,443,1.31,763.79,2.17,18.73,443,184,20723.56,186,429465952,4294745905,1289,1,-0.01,0.09,-1.78,-0.6,-2.81,-0.89,-83.02,-1.83,-3.17,-1.74,-1.79,-6.37,Standing,
11:13.6,430,494,741,641,443,1.31,763.79,2.17,18.73,443,184,20723.56,186,429465952,4294714225,1473,1,0,0.08,-1.42,2.15,-2.02,-0.47,-83.91,-1.92,-3.16,-1.87,-1.86,-6.39,Standing,
11:13.7,417,490,735,641,444,1.3,766.84,2.17,18.73,443,184,20723.56,186,429465952,4294682545,1657,1,0.01,0.1,-3.55,-0.7,-1.16,-0.25,-82.89,-2.22,-3.43,-1.9,-2.14,-6.61,Standing,
11:13.8,439,487,730.5,641,443,1.31,763.79,2.17,20724.3,443,183,20723.54,184,429465056,0,0,1.01,0.01,0.08,-4.63,-0.61,-3.47,0.26,-84.01,-2.63,-3.69,-2.17,-2.51,-6.91,Standing,
11:13.9,470,486,729,641,443,1.31,763.79,2.17,20724.3,443,183,20723.54,184,429465056,4294935249,183,1.01,0.01,0.1,-3.22,2.14,-4.55,-0.03,-82.91,-2.9,-3.68,-2.55,-2.78,-6.85,Standing,
11:14.0,472,486,729,641,444,1.3,766.84,2.17,20724.3,443,182,20723.54,184,429465056,4294902837,365,1.01,0.01,0.08,-1.4,-0.57,-4.11,0.17,-83.63,-2.98,-3.94,-2.89,-2.86,-7.13,Standing,
11:14.1,499,486,729,641,443,1.31,763.79,2.17,20724.3,443,186,20723.54,184,429465056,4294871897,551,1.02,0.01,0.08,-1.67,-1.25,-3.25,0.16,-83.7,-3.1,-4.27,-3.14,-2.97,-7.45,Standing,
11:14.2,405,483,724.5,641,443,1.31,763.79,2.17,20724.3,443,186,20723.54,184,429465056,4294840957,737,1.01,0.02,0.09,-0.64,1.24,-2.93,0.82,-83.27,-3.11,-4.35,-3.36,-2.95,-7.51,Standing,
11:14.3,435,481,721.5,641,443,1.31,763.79,2.17,20724.3,443,185,20723.54,184,429465056,4294809646,922,1,0.01,0.1,-2.97,2.15,1.61,0.21,-82.81,-3.35,-4.34,-3.12,-3.21,-7.47,Standing,
11:14.4,463,480,720,641,443,1.31,763.79,2.17,20724.3,443,185,20723.54,184,429465056,4294778335,1107,1.01,0.03,0.08,-1.54,3.69,-1.18,0.98,-83.4,-3.45,-4.16,-3.15,-3.27,-7.33,Standing,
11:14.5,492,480,720,641,444,1.3,766.84,2.17,20724.3,443,185,20723.54,184,429465056,4294747024,1292,1.01,0.02,0.1,-2.98,1.18,-1.34,0.34,-82.69,-3.7,-4.25,-3.21,-3.54,-7.39,Standing,
