Datetime, ECGR , AvgECG , ampECG , MAX , GSRR , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGR , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gy , Combroll , Combpitch,Features
24:46.2,728,527,790.5,862,238,3.3,303.18,1.16,0,0,275,0,0,0,17994,546,1.02,-0.05,-0.1,-5.92,-1.2,-1.93,-3.13,-82.33,-1.42,-1.98,-0.26,-1.49,-5.19,Standing
24:46.4,534,527,790.5,862,234,3.37,296.58,1.14,0,0,277,0,0,0,29187,823,1,-0.04,-0.11,-2.54,-5.31,-0.82,-3.13,-81.6,-1.66,-2.87,-0.27,-1.72,-6.02,Standing
24:46.5,235,521,781.5,862,231,3.43,291.67,1.13,0,0,276,0,0,0,39827,1099,1.02,-0.06,-0.12,-0.85,-0.46,1.07,-4.09,-80.68,-1.7,-3.17,-0.04,-1.8,-6.27,Standing
24:46.6,279,517,775.5,862,226,3.53,283.56,1.1,0,0,227,0,0,0,25820,1326,1.01,-0.05,-0.15,-2.88,1.69,-2.88,-3.43,-79.76,-1.98,-3.21,-0.29,-2.04,-6.27,Standing
24:46.7,647,519,778.5,862,222,3.61,277.15,1.09,0,0,260,0,0,0,27884,1586,1.02,-0.05,-0.13,-3.65,-3.05,-3.34,-3.13,-80.64,-2.36,-3.82,-0.6,-2.39,-6.89,Standing
24:46.8,755,524,786,862,218,3.69,270.81,1.07,0,0,258,0,0,0,28912,1844,1.03,-0.05,-0.14,-3.16,-1.53,-0.98,-3.3,-80.3,-2.67,-4.25,-0.63,-2.7,-7.29,Standing
24:47.0,382,521,781.5,862,218,3.69,270.81,1.07,0,0,256,0,0,0,28912,2100,1.03,-0.04,-0.13,-4.42,4.7,-0.29,-2.86,-80.75,-3.14,-3.92,-0.57,-3.13,-6.99,Standing
24:47.1,342,518,777,862,221,3.63,275.56,1.08,0,0,254,0,0,0,27892,2354,1.01,-0.05,-0.16,-4.59,2.83,0.53,-3.44,-79.11,-3.63,-3.82,-0.4,-3.63,-6.83,Standing
24:47.2,636,520,780,862,224,3.57,280.35,1.09,20723.96,226,215,29.29,256,857,0,0,1.02,-0.05,-0.15,-1.99,2.29,-1.52,-3.18,-79.78,-3.81,-3.78,-0.49,-3.78,-6.82,Standing
24:47.3,641,522,783,862,229,3.47,288.41,1.12,20723.96,226,224,29.29,256,857,4294951936,224,1.03,-0.06,-0.13,-3.39,-0.9,-2.52,-3.8,-80.39,-4.16,-4.14,-0.71,-4.15,-7.19,Standing
24:47.5,239,517,775.5,862,237,3.32,301.53,1.16,20723.96,226,286,29.29,256,857,900,510,1.01,-0.04,-0.14,-3.88,1.76,-0.57,-3.08,-80.21,-4.57,-4.17,-0.68,-4.51,-7.21,Standing
24:47.6,387,515,772.5,862,233,3.39,294.94,1.14,20723.96,226,288,29.29,256,857,18308,798,1.01,-0.06,-0.14,-7,-2.53,-2.12,-3.89,-79.83,-5.37,-4.73,-0.85,-5.31,-7.74,Standing
24:47.7,669,517,775.5,862,224,3.57,280.35,1.09,20723.96,226,271,29.29,256,857,26213,1069,1.02,-0.04,-0.13,-3.59,-1.73,-2.74,-2.75,-80.69,-5.74,-5.19,-1.09,-5.62,-8.21,Standing
24:47.8,569,518,777,862,217,3.71,269.23,1.06,20723.96,226,268,29.29,256,857,32501,1337,1,-0.04,-0.15,-0.19,-4.19,-4.78,-2.7,-79.79,-5.69,-5.95,-1.58,-5.57,-8.91,Standing
24:47.9,250,514,771,862,223,3.59,278.75,1.09,20723.96,226,219,29.29,256,857,14926,1556,1.03,-0.03,-0.16,1.47,0.31,-1.89,-2.37,-79.6,-5.44,-6.16,-1.71,-5.32,-9.1,Standing
24:48.1,384,512,768,862,230,3.45,290.04,1.12,20723.96,226,276,29.29,256,857,25566,1832,1.01,-0.05,-0.14,3.41,2.52,-2.6,-3.18,-79.93,-4.95,-6.1,-1.94,-4.88,-9.05,Standing
24:48.2,784,516,774,862,236,3.33,299.87,1.15,20723.96,226,288,29.29,256,857,42974,2120,1,-0.04,-0.15,1.97,0.95,0.04,-2.93,-79.53,-4.64,-6.23,-1.83,-4.57,-9.16,Standing
24:48.3,618,518,777,862,233,3.39,294.94,1.14,20723.96,226,289,29.29,256,857,60959,2409,1.02,-0.03,-0.16,0.4,0.63,0.4,-2.29,-79.36,-4.52,-6.4,-1.69,-4.43,-9.32,Standing
24:48.4,669,517,775.5,862,226,3.53,283.56,1.1,20723.99,228,199,59.18,260,3501,0,0,1.02,-0.04,-0.16,0.29,1.18,-1.02,-2.81,-79.18,-4.42,-6.5,-1.71,-4.36,-9.4,Standing
24:48.6,569,518,777,862,221,3.63,275.56,1.08,20723.99,228,279,59.18,260,3501,12305,279,1.01,-0.05,-0.16,-1.18,-0.14,-1.13,-3.24,-79.26,-4.5,-6.76,-1.76,-4.45,-9.66,Standing
24:48.7,250,514,771,862,219,3.67,272.39,1.07,20723.99,228,277,59.18,260,3501,23498,556,1.02,-0.05,-0.15,1.45,3.34,0.21,-3.24,-79.42,-4.25,-6.59,-1.63,-4.21,-9.51,Standing
24:48.8,465,21,31.5,465,242,3.23,309.86,1.18,20723.99,228,260,59.18,260,3501,25562,816,1.02,-0.04,-0.17,-3.3,7.34,0.66,-2.56,-78.81,-4.59,-5.93,-1.45,-4.51,-8.85,Standing
24:48.9,1000,63,94.5,1000,352,1.91,524.59,1.72,20723.99,228,300,59.18,260,3501,50026,1116,1,-0.04,-0.17,-4.64,2.34,2.89,-3.09,-78.56,-5.09,-5.89,-1,-5.01,-8.8,Standing
24:49.1,1000,102,153,1000,384,1.66,600.94,1.88,20723.99,228,281,59.18,260,3501,63451,1397,1.01,-0.04,-0.12,-4.62,3.37,1.69,-2.8,-81.27,-5.6,-5.72,-0.68,-5.49,-8.74,Standing
24:49.2,1000,138,207,1000,391,1.62,618.67,1.91,20723.99,228,291,59.18,260,3501,82596,1688,1.05,-0.07,-0.15,-1.21,3.63,-4.76,-4.11,-79.79,-5.68,-5.51,-1.18,-5.62,-8.49,Standing
24:49.3,1001,171,256.5,1001,394,1.6,626.39,1.93,20723.99,228,288,59.18,260,3501,100004,1976,1.01,-0.09,-0.15,1.24,5.56,-4.17,-5.53,-78.47,-5.45,-5.07,-1.61,-5.46,-8,Standing
24:49.4,1001,202,303,1001,393,1.6,623.81,1.92,20723.99,228,293,59.18,260,3501,120317,2269,1.05,-0.04,-0.22,-1.96,-3.47,-0.45,-2.57,-76.51,-5.63,-5.75,-1.56,-5.51,-8.58,Standing
24:49.6,516,213,319.5,1001,368,1.78,561.83,1.8,20723.99,228,290,59.18,260,3501,138881,2559,1.04,-0.06,-0.13,3.48,1.86,-4.48,-3.63,-80.91,-5.12,-5.77,-2.03,-5.06,-8.77,Standing
24:49.7,857,235,352.5,1001,368,1.78,561.83,1.8,67.84,333,292,125.94,285,15859,0,0,1,-0.04,-0.14,0.15,1.02,-3.48,-2.87,-80.03,-5.03,-5.89,-2.36,-4.95,-8.85,Standing
24:49.8,0,228,342,1001,359,1.85,540.66,1.75,67.84,333,276,125.94,285,15859,10640,276,1.03,-0.05,-0.14,-0.71,0.26,-0.73,-3.22,-79.98,-5.05,-6.1,-2.35,-4.98,-9.06,Standing
24:49.9,0,220,330,1001,371,1.76,569.02,1.81,67.84,333,292,125.94,285,15859,30368,568,1.01,-0.05,-0.15,-4.49,1.06,1.26,-3.6,-79.46,-5.54,-6.22,-2.1,-5.46,-9.15,Standing
24:50.1,540,230,345,1001,377,1.71,583.59,1.84,67.84,333,291,125.94,285,15859,49513,859,1.02,-0.05,-0.13,-2.72,2.63,-1.52,-3.11,-80.72,-5.81,-6.14,-2.19,-5.7,-9.13,Standing
24:50.2,597,241,361.5,1001,365,1.8,554.71,1.78,67.84,333,291,125.94,285,15859,68658,1150,1.02,-0.06,-0.15,-5.92,1.39,-3.56,-3.82,-79.29,-6.48,-6.22,-2.54,-6.37,-9.14,Standing
24:50.3,0,234,351,1001,319,2.21,453.13,1.56,67.84,333,243,125.94,285,15859,62171,1393,1.01,-0.03,-0.16,-12.8,-4.31,-1.08,-2.5,-79.12,-8.01,-7.01,-2.57,-7.79,-9.89,Standing
24:50.4,509,242,363,1001,330,2.1,476.19,1.61,67.84,333,284,125.94,285,15859,77291,1677,1.02,-0.03,-0.17,-13.33,-0.81,-1.34,-2.2,-78.93,-9.61,-7.36,-2.64,-9.31,-10.22,Standing
24:50.6,179,240,360,1001,333,2.07,482.61,1.63,67.84,333,284,125.94,285,15859,92411,1961,1,-0.03,-0.17,-9.11,-3.63,-4.48,-2.02,-78.82,-10.68,-8.07,-3.11,-10.34,-10.9,Standing
24:50.7,0,234,351,1001,314,2.26,442.88,1.53,67.84,333,282,125.94,285,15859,106399,2243,1.02,-0.04,-0.19,-5.37,-1.04,-3.67,-2.69,-77.61,-11.28,-8.44,-3.46,-10.94,-11.21,Standing
24:50.8,465,240,360,1001,289,2.54,393.73,1.41,67.84,333,232,125.94,285,15859,94687,2475,1,-0.03,-0.17,-4.31,1.87,-0.79,-2.32,-78.5,-11.75,-8.46,-3.46,-11.38,-11.26,Standing
24:50.9,539,247,370.5,1001,285,2.59,386.18,1.39,20724.18,334,287,105.6,276,11151,0,0,1,-0.04,-0.18,-4.63,1.73,-0.77,-2.63,-78.14,-12.26,-8.49,-3.46,-11.88,-11.28,Standing
24:51.1,557,255,382.5,1001,279,2.67,375,1.36,20724.18,334,295,105.6,276,11151,21489,295,1.01,-0.02,-0.19,-2.7,0.95,-3.5,-1.68,-77.85,-12.53,-8.63,-3.8,-12.1,-11.4,Standing
24:51.2,492,261,391.5,1001,264,2.88,347.83,1.29,20724.18,334,264,105.6,276,11151,25649,559,1.03,-0.01,-0.18,-3.49,0.92,-5.54,-1.14,-78.39,-12.9,-8.76,-4.4,-12.43,-11.55,Standing
24:51.3,491,266,399,1001,275,2.72,367.65,1.34,20724.18,334,294,105.6,276,11151,46549,853,1.01,-0.01,-0.18,-3.3,1.69,-3.4,-0.96,-78.6,-13.24,-8.8,-4.73,-12.75,-11.59,Standing
24:51.4,1000,283,424.5,1001,362,1.83,547.66,1.77,20724.18,334,300,105.6,276,11151,71013,1153,1,0,-0.18,-1.31,3.61,-1.19,-0.81,-78.22,-13.34,-8.6,-4.78,-12.84,-11.38,Standing
24:51.6,1000,300,450,1001,387,1.64,608.49,1.89,20724.18,334,300,105.6,276,11151,95477,1453,1.01,0,-0.17,2.69,2.08,-1.13,-0.36,-78.95,-12.93,-8.59,-4.82,-12.43,-11.4,Standing
24:51.7,0,293,439.5,1001,390,1.62,616.11,1.91,20724.18,334,300,105.6,276,11151,119941,1753,1,0,-0.17,1.19,0.05,-4.24,-0.55,-78.49,-12.71,-8.83,-5.25,-12.22,-11.62,Standing
24:51.8,1001,308,462,1001,394,1.6,626.39,1.93,20724.18,334,298,105.6,276,11151,143209,2051,1.01,0.01,-0.17,-0.79,0.5,-2.87,-0.29,-79.06,-12.74,-9.02,-5.51,-12.24,-11.82,Standing
24:51.9,1001,323,484.5,1001,386,1.65,605.97,1.89,20724.18,334,291,105.6,276,11151,162354,2342,1.02,0.01,-0.18,1.04,0.68,-0.68,-0.28,-78.63,-12.54,-9.19,-5.5,-12.05,-11.96,Standing
