Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
12:34.3,274,274,411,274,270,2.79,358.57,1.32,0,0,775,0,0,0,24706,1552,1.01,-0.05,0.06,-3.7,1.74,0.11,-3.61,-83.71,-0.65,0.05,0.11,-0.77,-3.3,Standing
12:34.4,340,307,460.5,340,271,2.77,360.37,1.32,0,0,777,0,0,0,38611,2329,1.02,-0.04,0.08,-2.46,1.14,-2.82,-2.61,-83.66,-0.84,-0.03,-0.08,-0.91,-3.38,Standing
12:34.5,270,294,441,340,272,2.76,362.18,1.33,0,0,781,0,0,0,58748,3110,1.01,-0.04,0.06,-0.45,0.09,-2.98,-2.88,-84.24,-0.83,-0.22,-0.3,-0.91,-3.58,Standing
12:34.6,259,285,427.5,340,274,2.73,365.82,1.34,0,0,775,0,0,0,69549,3885,1.02,-0.04,0.05,-1.38,-1.49,-4.03,-2.77,-84.82,-0.91,-0.56,-0.61,-0.98,-3.93,Standing
12:34.6,276,283,424.5,340,276,2.71,369.48,1.35,0,0,776,0,0,0,81901,4661,1,-0.02,0.04,-1.71,2.76,-4.9,-1.7,-85.91,-1.02,-0.48,-1.02,-1.05,-3.9,Standing
12:34.7,292,285,427.5,340,276,2.71,369.48,1.35,0,0,777,0,0,0,95806,5438,1,-0.01,0.05,-2.37,2.47,-0.85,-1.43,-85.5,-1.19,-0.44,-1.03,-1.2,-3.84,Standing
12:34.8,333,292,438,340,277,2.69,371.31,1.35,0,0,777,0,0,0,109711,6215,1.01,-0.03,0.06,-1.27,-0.69,1.59,-2.34,-84.69,-1.26,-0.7,-0.79,-1.31,-4.06,Standing
12:34.9,414,307,460.5,414,278,2.68,373.15,1.36,0,0,775,0,0,0,120512,6990,1.02,-0.04,0.06,-2.31,1.4,-0.31,-2.77,-84.39,-1.44,-0.76,-0.75,-1.49,-4.11,Standing
12:35.0,423,320,480,423,279,2.67,375,1.36,98.56,274,777,115.94,776,13440,0,0,1.02,-0.03,0.06,-2.13,1.84,-1.85,-2.25,-84.82,-1.59,-0.78,-0.85,-1.62,-4.14,Standing
12:35.1,391,327,490.5,423,280,2.65,376.85,1.37,98.56,274,775,115.94,776,13440,10801,775,1.03,-0.02,0.04,-3.9,-1.86,-2.31,-1.89,-85.73,-1.92,-1.16,-1,-1.92,-4.54,Standing
12:35.2,333,327,490.5,423,282,2.63,380.57,1.38,98.56,274,778,115.94,776,13440,26261,1553,1.01,-0.03,0.05,-2.11,3.64,-3.04,-2.21,-85.12,-2.08,-1,-1.23,-2.08,-4.36,Standing
12:35.3,671,356,534,671,282,2.63,380.57,1.38,98.56,274,785,115.94,776,13440,52662,2338,1,-0.02,0.07,-1.95,1.63,-1.17,-1.94,-84.43,-2.22,-1.03,-1.26,-2.21,-4.37,Standing
12:35.4,347,355,532.5,671,282,2.63,380.57,1.38,98.56,274,776,115.94,776,13440,65014,3114,1.01,-0.02,0.06,-2.08,1.75,-1.51,-1.91,-84.54,-2.37,-1.06,-1.33,-2.35,-4.4,Standing
