Datetime,hr,spo2,stress_state,GSR(kohm),Features
14:25.9,94,95.5,0,679.8,Standing
14:26.0,94,95.5,0,685.34,Standing
14:26.1,94,95.5,0,685.34,Standing
14:26.3,94,95.5,0,693.71,Standing
14:26.5,94,95.5,0,699.34,Standing
14:26.6,94,95.5,0,705.0,Standing
14:26.7,94,95.5,0,707.85,Standing
14:26.8,94,95.5,0,710.7,Standing
14:26.9,94,95.5,0,713.57,Standing
14:27.0,93,95.5,0,719.33,Standing
14:27.1,93,95.5,0,719.33,Standing
14:27.4,93,95.5,0,722.22,Standing
14:27.6,93,95.5,0,722.22,Standing
14:27.6,94,95.5,0,722.22,Standing
14:27.8,94,95.5,0,725.13,Standing
14:27.9,94,95.5,0,725.13,Standing
14:28.0,94,95.5,0,725.13,Standing
14:28.1,94,95.5,0,725.13,Standing
14:28.2,95,95.5,0,725.13,Standing
14:28.4,95,95.5,0,722.22,Standing
14:28.6,95,95.5,0,719.33,Standing
14:28.7,95,95.5,0,716.44,Standing
14:28.8,95,95.5,0,713.57,Standing
14:29.0,96,95.5,0,707.85,Standing
14:29.1,96,95.5,0,707.85,Standing
14:29.3,96,95.5,0,707.85,Standing
14:29.4,98,95.5,0,707.85,Standing
14:29.5,98,95.5,0,710.7,Standing
14:29.7,98,95.5,0,713.57,Standing
14:29.8,98,95.5,0,716.44,Standing
14:29.8,98,95.5,0,716.44,Standing
14:30.0,100,95.5,0,719.33,Standing
14:30.1,100,95.5,0,719.33,Standing
14:30.3,100,95.5,0,719.33,Standing
14:30.4,101,95.5,0,713.57,Standing
14:30.6,101,95.5,0,702.16,Standing
14:30.7,101,95.5,0,699.34,Standing
14:30.8,101,95.5,0,693.71,Standing
14:30.9,101,95.5,0,688.12,Standing
14:31.0,102,95.5,0,685.34,Standing
14:31.1,102,95.5,0,682.57,Standing
14:31.3,102,95.5,0,682.57,Standing
14:31.4,103,95.5,0,679.8,Standing
14:31.5,103,95.5,0,682.57,Standing
14:31.7,103,95.5,0,682.57,Standing
14:31.8,103,95.5,0,685.34,Standing
14:31.9,103,95.5,0,688.12,Standing
14:32.1,103,95.5,0,696.52,Standing
14:32.2,104,95.5,0,696.52,Standing
14:32.3,104,95.5,0,699.34,Standing
14:32.4,104,95.5,0,702.16,Standing
14:32.5,104,95.5,0,702.16,Standing
14:32.7,104,95.5,0,707.85,Standing
14:32.9,104,95.5,0,707.85,Standing
14:33.1,104,95.5,0,713.57,Standing
14:33.2,104,95.5,0,713.57,Standing
14:33.3,104,95.5,0,716.44,Standing
14:33.4,104,95.5,0,716.44,Standing
14:33.5,104,95.5,0,716.44,Standing
14:33.6,104,95.5,0,719.33,Standing
14:33.7,105,95.5,0,719.33,Standing
14:33.9,105,95.5,0,722.22,Standing
14:34.1,105,95.5,0,725.13,Standing
14:34.2,106,95.5,0,725.13,Standing
14:34.3,106,95.5,0,725.13,Standing
14:34.4,106,95.5,0,725.13,Standing
14:34.5,106,95.5,0,722.22,Standing
14:34.6,106,95.5,0,719.33,Standing
14:35.2,108,95.4,0,699.34,Standing
14:35.3,108,95.4,0,696.52,Standing
14:35.4,108,95.4,0,696.52,Standing
14:42.0,115,95.3,1,699.34,Left Fall while Standing
14:42.2,115,95.3,1,685.34,Left Fall while Standing
14:42.3,115,95.3,1,685.34,Left Fall while Standing
14:42.5,114,95.3,1,679.8,Left Fall while Standing
14:42.6,114,95.3,1,677.05,Left Fall while Standing
14:42.7,114,95.3,1,677.05,Left Fall while Standing
14:42.8,114,95.3,1,677.05,Left Fall while Standing
14:42.9,115,95.3,1,677.05,Left Fall while Standing
14:43.0,115,95.3,1,679.8,Left Fall while Standing
14:43.2,115,95.3,1,682.57,Left Fall while Standing
14:43.3,115,95.3,1,682.57,Left Fall while Standing
14:43.5,115,95.3,1,679.8,Left Fall while Standing
14:43.6,115,95.3,1,674.3,Left Fall while Standing
14:43.7,115,95.3,1,668.84,Left Fall while Standing
14:43.8,115,95.3,1,660.71,Left Fall while Standing
14:43.9,114,95.2,1,655.34,Left Fall while Standing
14:44.0,114,95.2,1,650.0,Left Fall while Standing
